Title,Standard Document Id,Technology Generation,Publication Date,Standard Setting Organization,Author,Standard Project,Version History,Original Document
Digital cellular telecommunications system (Phase 2+); Universal Mobile Telecommunications System (UMTS); LTE; Circuit Switched (CS) fallback in Evolved Packet System (EPS); Stage 2 (3GPP TS 23.272 version 12.5.0 Release 12) Circuit Switched (CS) fallback in Evolved Packet System (EPS); Stage 2,TS 23.272 v12.5.0,"4G, 3G, 2G",2015-04-02,ETSI,Maurice Pope | Sabine Demel,,12.5.0,https://www.etsi.org/deliver/etsi_ts/123200_123299/123272/12.05.00_60/ts_123272v120500p.pdf
Digital cellular telecommunications system (Phase 2+); Universal Mobile Telecommunications System (UMTS); LTE; Circuit Switched (CS) fallback in Evolved Packet System (EPS); Stage 2 (3GPP TS 23.272 version 12.4.0 Release 12) Circuit Switched (CS) fallback in Evolved Packet System (EPS); Stage 2,TS 23.272 v12.4.0,"4G, 3G, 2G",2014-09-24,ETSI,Maurice Pope | Sabine Demel,,12.4.0,https://www.etsi.org/deliver/etsi_ts/123200_123299/123272/12.04.00_60/ts_123272v120400p.pdf
Digital cellular telecommunications system (Phase 2+); Universal Mobile Telecommunications System (UMTS); LTE; Circuit Switched (CS) fallback in Evolved Packet System (EPS); Stage 2 (3GPP TS 23.272 version 11.10.0 Release 11) Circuit Switched (CS) fallback in Evolved Packet System (EPS); Stage 2,TS 23.272 v11.10.0,"4G, 3G, 2G",2015-07-17,ETSI,Maurice Pope | Sabine Demel,,11.10.0,https://www.etsi.org/deliver/etsi_ts/123200_123299/123272/11.10.00_60/ts_123272v111000p.pdf
Digital cellular telecommunications system (Phase 2+); Universal Mobile Telecommunications System (UMTS); LTE; Circuit Switched (CS) fallback in Evolved Packet System (EPS); Stage 2 (3GPP TS 23.272 version 11.9.0 Release 11) Circuit Switched (CS) fallback in Evolved Packet System (EPS); Stage 2,TS 23.272 v11.9.0,"4G, 3G, 2G",2014-07-09,ETSI,Maurice Pope | Sabine Demel,,11.9.0,https://www.etsi.org/deliver/etsi_ts/123200_123299/123272/11.09.00_60/ts_123272v110900p.pdf
Digital cellular telecommunications system (Phase 2+); Universal Mobile Telecommunications System (UMTS); LTE; Circuit Switched (CS) fallback in Evolved Packet System (EPS); Stage 2 (3GPP TS 23.272 version 11.8.0 Release 11) Circuit Switched (CS) fallback in Evolved Packet System (EPS); Stage 2,TS 23.272 v11.8.0,"4G, 3G, 2G",2014-03-17,ETSI,Maurice Pope | Sabine Demel,3GPP 3GPP-Release-11 3GPP-SA,11.8.0,https://www.etsi.org/deliver/etsi_ts/123200_123299/123272/11.08.00_60/ts_123272v110800p.pdf
Digital cellular telecommunications system (Phase 2+); Universal Mobile Telecommunications System (UMTS); LTE; Circuit Switched (CS) fallback in Evolved Packet System (EPS); Stage 2 (3GPP TS 23.272 version 11.7.0 Release 11) Circuit Switched (CS) fallback in Evolved Packet System (EPS); Stage 2,TS 23.272 v11.7.0,"4G, 3G, 2G",2013-12-18,ETSI,Maurice Pope | Sabine Demel,3GPP 3GPP-Release-11 3GPP-SA,11.7.0,https://www.etsi.org/deliver/etsi_ts/123200_123299/123272/11.07.00_60/ts_123272v110700p.pdf
Digital cellular telecommunications system (Phase 2+); Universal Mobile Telecommunications System (UMTS); LTE; Circuit Switched (CS) fallback in Evolved Packet System (EPS); Stage 2 (3GPP TS 23.272 version 11.6.0 Release 11) Circuit Switched (CS) fallback in Evolved Packet System (EPS); Stage 2,TS 23.272 v11.6.0,"4G, 3G, 2G",2013-09-20,ETSI,Maurice Pope | Sabine Demel,3GPP 3GPP-Release-11 3GPP-SA,11.6.0,https://www.etsi.org/deliver/etsi_ts/123200_123299/123272/11.06.00_60/ts_123272v110600p.pdf
Digital cellular telecommunications system (Phase 2+); Universal Mobile Telecommunications System (UMTS); LTE; Circuit Switched (CS) fallback in Evolved Packet System (EPS); Stage 2 (3GPP TS 23.272 version 11.5.0 Release 11) Circuit Switched (CS) fallback in Evolved Packet System (EPS); Stage 2,TS 23.272 v11.5.0,"4G, 3G, 2G",2013-06-27,ETSI,Maurice Pope | Sabine Demel,3GPP 3GPP-Release-11 3GPP-SA,11.5.0,https://www.etsi.org/deliver/etsi_ts/123200_123299/123272/11.05.00_60/ts_123272v110500p.pdf
Digital cellular telecommunications system (Phase 2+); Universal Mobile Telecommunications System (UMTS); LTE; Circuit Switched (CS) fallback in Evolved Packet System (EPS); Stage 2 (3GPP TS 23.272 version 11.4.0 Release 11) Circuit Switched (CS) fallback in Evolved Packet System (EPS); Stage 2,TS 23.272 v11.4.0,"4G, 3G, 2G",2013-04-05,ETSI,Maurice Pope | Sabine Demel,3GPP 3GPP-Release-11 3GPP-SA,11.4.0,https://www.etsi.org/deliver/etsi_ts/123200_123299/123272/11.04.00_60/ts_123272v110400p.pdf
Digital cellular telecommunications system (Phase 2+); Universal Mobile Telecommunications System (UMTS); LTE; Circuit Switched (CS) fallback in Evolved Packet System (EPS); Stage 2 (3GPP TS 23.272 version 11.3.0 Release 11) Circuit Switched (CS) fallback in Evolved Packet System (EPS); Stage 2,TS 23.272 v11.3.0,"4G, 3G, 2G",2013-01-14,ETSI,Maurice Pope | Sabine Demel,3GPP 3GPP-Release-11 3GPP-SA,11.3.0,https://www.etsi.org/deliver/etsi_ts/123200_123299/123272/11.03.00_60/ts_123272v110300p.pdf
